,Credit Amount,Duration of Credit (month),Age (years),Account Balance,Occupation,Length of current employment,Payment Status of Previous Credit,Sex,Creditability
52,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
53,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
54,3000-6999,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
55,Less than 1000,1-2 years,Older than 30,No Account,Unskilled,More than 4 years,Delays,Female,Credible
56,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
57,1000-2999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Credible
58,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
59,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
60,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
61,1000-2999,2-3 years,Younger than 30,200DM or above,Highly Skilled,Less than a year,NA/Not Delayed,Female,Credible
62,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
63,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
64,1000-2999,1-2 years,Older than 30,No Account,Unskilled,1-3 years,Delays,Male,Credible
65,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
66,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
67,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
68,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Credible
69,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
70,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
71,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
72,1000-2999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
73,Less than 1000,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
74,3000-6999,1-2 years,Older than 30,Below 200DM,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
75,1000-2999,Less than a year,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
76,3000-6999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
77,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
78,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
79,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
80,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
81,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
82,3000-6999,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
83,1000-2999,1-2 years,Older than 30,Below 200DM,Skilled,1-3 years,Delays,Male,Credible
84,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
85,3000-6999,1-2 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
86,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
87,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
88,Less than 1000,Less than a year,Older than 30,No Account,Unskilled,More than 4 years,Delays,Female,Credible
89,1000-2999,2-3 years,Older than 30,None,Skilled,1-3 years,Delays,Female,Credible
90,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,Delays,Male,Credible
91,1000-2999,2-3 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
92,3000-6999,2-3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Credible
93,1000-2999,Less than a year,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
94,3000-6999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
95,3000-6999,2-3 years,Older than 30,200DM or above,Unskilled,Less than a year,Delays,Male,Credible
96,3000-6999,1-2 years,Younger than 30,None,Unskilled,1-3 years,Delays,Female,Credible
97,3000-6999,More than 3 years,Older than 30,None,Highly Skilled,1-3 years,Delays,Male,Not Credible
98,1000-2999,Less than a year,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
99,3000-6999,More than 3 years,Older than 30,None,Unskilled,More than 4 years,Delays,Female,Credible
100,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
101,Less than 1000,1-2 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
102,3000-6999,2-3 years,Older than 30,None,Highly Skilled,1-3 years,Delays,Male,Credible
103,More than 7000,More than 3 years,Older than 30,None,Skilled,1-3 years,Delays,Female,Credible
104,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
105,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
106,1000-2999,1-2 years,Younger than 30,200DM or above,Highly Skilled,1-3 years,Delays,Female,Credible
107,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
108,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
109,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
110,3000-6999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
111,Less than 1000,Less than a year,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
112,1000-2999,1-2 years,Older than 30,None,Highly Skilled,More than 4 years,Delays,Male,Credible
113,Less than 1000,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
114,3000-6999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
115,3000-6999,1-2 years,Younger than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
116,1000-2999,Less than a year,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
117,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
118,Less than 1000,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
119,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
120,3000-6999,More than 3 years,Older than 30,None,Highly Skilled,Less than a year,NA/Not Delayed,Female,Credible
121,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
122,1000-2999,Less than a year,Older than 30,None,Highly Skilled,Less than a year,NA/Not Delayed,Male,Credible
123,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Female,Credible
124,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
125,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,Less than a year,Delays,Male,Credible
126,Less than 1000,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
127,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
128,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
129,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
130,1000-2999,2-3 years,Younger than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Credible
131,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
132,1000-2999,Less than a year,Older than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Credible
133,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
134,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
135,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
136,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
137,1000-2999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
138,Less than 1000,Less than a year,Older than 30,None,Unskilled,More than 4 years,Delays,Female,Credible
139,3000-6999,2-3 years,Older than 30,Below 200DM,Skilled,1-3 years,Delays,Male,Credible
140,3000-6999,More than 3 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
141,3000-6999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
142,3000-6999,2-3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
143,1000-2999,Less than a year,Older than 30,200DM or above,Highly Skilled,Unemployed,Delays,Male,Credible
144,1000-2999,More than 3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
145,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
146,1000-2999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
147,1000-2999,1-2 years,Older than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
148,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
149,1000-2999,2-3 years,Older than 30,None,Unskilled,More than 4 years,Delays,Male,Credible
150,Less than 1000,1-2 years,Older than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Female,Credible
151,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
152,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
153,3000-6999,2-3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
154,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
155,1000-2999,2-3 years,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
156,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Credible
157,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
158,3000-6999,More than 3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
159,3000-6999,1-2 years,Younger than 30,None,Skilled,More than 4 years,Delays,Male,Credible
160,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
161,1000-2999,2-3 years,Older than 30,Below 200DM,Skilled,1-3 years,Delays,Male,Credible
162,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
163,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
164,Less than 1000,1-2 years,Younger than 30,Below 200DM,Skilled,Less than a year,NA/Not Delayed,Female,Credible
165,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
166,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
167,3000-6999,2-3 years,Older than 30,200DM or above,Highly Skilled,1-3 years,Delays,Male,Credible
168,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
169,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
170,3000-6999,More than 3 years,Younger than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Credible
171,1000-2999,1-2 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Female,Not Credible
172,1000-2999,1-2 years,Younger than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Credible
173,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
174,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
175,3000-6999,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
176,3000-6999,2-3 years,Younger than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
177,1000-2999,1-2 years,Older than 30,None,Skilled,Less than a year,Delays,Male,Credible
178,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
179,More than 7000,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
180,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
181,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,Less than a year,Delays,Female,Credible
182,More than 7000,2-3 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Credible
183,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
184,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
185,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
186,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
187,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
188,1000-2999,More than 3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
189,1000-2999,1-2 years,Younger than 30,Below 200DM,Highly Skilled,1-3 years,NA/Not Delayed,Female,Credible
190,1000-2999,2-3 years,Younger than 30,200DM or above,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
191,3000-6999,More than 3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
192,More than 7000,More than 3 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
193,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
194,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
195,More than 7000,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
196,3000-6999,Less than a year,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
197,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
198,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
199,3000-6999,More than 3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Credible
200,1000-2999,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
201,More than 7000,2-3 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
202,1000-2999,1-2 years,Older than 30,Below 200DM,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
203,More than 7000,2-3 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Credible
204,3000-6999,1-2 years,Younger than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
205,3000-6999,1-2 years,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
206,1000-2999,1-2 years,Younger than 30,No Account,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
207,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
208,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,Unemployed,NA/Not Delayed,Male,Credible
209,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
210,1000-2999,Less than a year,Younger than 30,Below 200DM,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
211,1000-2999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
212,1000-2999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
213,1000-2999,Less than a year,Older than 30,Below 200DM,Unskilled,1-3 years,Delays,Male,Credible
214,1000-2999,Less than a year,Older than 30,None,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
215,3000-6999,Less than a year,Older than 30,Below 200DM,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
216,1000-2999,Less than a year,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
217,Less than 1000,Less than a year,Younger than 30,Below 200DM,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
218,More than 7000,More than 3 years,Older than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Female,Credible
219,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
220,1000-2999,1-2 years,Older than 30,No Account,Highly Skilled,Less than a year,NA/Not Delayed,Male,Credible
221,3000-6999,2-3 years,Older than 30,Below 200DM,Unskilled,More than 4 years,Delays,Male,Credible
222,3000-6999,2-3 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
223,More than 7000,2-3 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
224,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
225,1000-2999,2-3 years,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Female,Credible
226,3000-6999,1-2 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
227,Less than 1000,1-2 years,Younger than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
228,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
229,3000-6999,More than 3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
230,1000-2999,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
231,Less than 1000,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
232,More than 7000,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
233,3000-6999,2-3 years,Older than 30,No Account,Highly Skilled,1-3 years,NA/Not Delayed,Male,Credible
234,Less than 1000,1-2 years,Younger than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
235,1000-2999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
236,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
237,1000-2999,2-3 years,Older than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
238,Less than 1000,Less than a year,Younger than 30,200DM or above,Unskilled,Less than a year,NA/Not Delayed,Female,Credible
239,1000-2999,More than 3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
240,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
241,More than 7000,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Credible
242,1000-2999,1-2 years,Younger than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
243,Less than 1000,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
244,1000-2999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
245,3000-6999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
246,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
247,3000-6999,2-3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Credible
248,1000-2999,1-2 years,Younger than 30,None,Unskilled,1-3 years,NA/Not Delayed,Female,Credible
249,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
250,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
251,3000-6999,1-2 years,Older than 30,None,Unskilled,1-3 years,Delays,Male,Credible
252,Less than 1000,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
253,3000-6999,More than 3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
254,3000-6999,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
255,1000-2999,1-2 years,Younger than 30,Below 200DM,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
256,3000-6999,1-2 years,Younger than 30,No Account,Unskilled,More than 4 years,Delays,Female,Credible
257,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,Less than a year,Delays,Female,Credible
258,1000-2999,Less than a year,Older than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
259,3000-6999,Less than a year,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
260,1000-2999,1-2 years,Younger than 30,200DM or above,Unskilled,Less than a year,NA/Not Delayed,Male,Credible
261,1000-2999,Less than a year,Older than 30,200DM or above,Highly Skilled,Less than a year,Delays,Female,Credible
262,1000-2999,Less than a year,Younger than 30,Below 200DM,Skilled,Less than a year,NA/Not Delayed,Female,Credible
263,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
264,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Credible
265,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
