,gender,disability,age_band,SES,highest_education,studied_credits,code_module,final_result
62,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
63,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
64,F,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
67,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
69,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
70,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Fail
71,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
73,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
74,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
75,M,N,35-55,high,HE Qualification,More than 65,AAA,Pass
76,M,N,0-35,low,HE Qualification,More than 65,AAA,Fail
77,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
78,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
80,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
81,F,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
83,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
85,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
86,M,Y,0-35,low,A Level or Equivalent,More than 65,AAA,Fail
87,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
89,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
90,M,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
91,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
92,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
93,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
95,M,N,0-35,high,Post Graduate Qualification,60-65,AAA,Pass
96,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
97,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
98,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
99,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
100,F,N,35-55,high,HE Qualification,60-65,AAA,Fail
101,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
102,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
103,M,N,0-35,low,Lower Than A Level,More than 65,AAA,Pass
104,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
105,M,N,0-35,low,HE Qualification,More than 65,AAA,Pass
106,F,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
107,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
109,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
110,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
111,M,N,35-55,low,A Level or Equivalent,More than 65,AAA,Fail
113,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
115,M,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
116,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
117,M,N,35-55,high,Lower Than A Level,60-65,AAA,Fail
118,M,N,0-35,low,HE Qualification,60-65,AAA,Fail
119,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
120,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
121,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
122,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
123,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
124,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
126,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
127,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
128,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
129,M,N,35-55,low,A Level or Equivalent,More than 65,AAA,Fail
130,M,N,55<=,high,Post Graduate Qualification,60-65,AAA,Pass
131,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
132,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
133,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Fail
134,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
135,M,Y,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
137,M,N,35-55,high,A Level or Equivalent,More than 65,AAA,Pass
138,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
139,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
140,F,N,0-35,low,HE Qualification,60-65,AAA,Pass
141,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
142,M,N,55<=,high,A Level or Equivalent,More than 65,AAA,Pass
143,M,N,55<=,high,Post Graduate Qualification,60-65,AAA,Pass
144,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
145,F,N,0-35,high,HE Qualification,More than 65,AAA,Pass
146,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
147,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
148,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
149,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
150,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
152,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
153,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
154,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
155,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Fail
158,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
159,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
160,M,N,0-35,low,Lower Than A Level,More than 65,AAA,Fail
162,M,N,55<=,high,Lower Than A Level,60-65,AAA,Pass
163,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
164,M,N,35-55,high,HE Qualification,More than 65,AAA,Pass
165,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Fail
166,M,Y,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
167,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
168,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
169,F,N,35-55,high,HE Qualification,More than 65,AAA,Fail
170,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
172,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Fail
173,M,N,35-55,high,Lower Than A Level,60-65,AAA,Fail
174,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
175,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
176,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
177,F,Y,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
178,M,N,35-55,high,HE Qualification,More than 65,AAA,Fail
179,M,N,0-35,low,Lower Than A Level,More than 65,AAA,Pass
181,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
182,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
183,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
185,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
186,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
187,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
189,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Fail
190,F,N,35-55,high,A Level or Equivalent,More than 65,AAA,Pass
191,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
192,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
193,M,N,0-35,high,Lower Than A Level,More than 65,AAA,Fail
194,F,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
195,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
196,M,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
197,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
199,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
201,M,Y,0-35,low,A Level or Equivalent,60-65,AAA,Fail
202,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
203,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
204,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
206,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
208,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
209,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
210,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
211,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
212,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
213,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
214,M,N,0-35,low,HE Qualification,More than 65,AAA,Pass
215,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
216,M,N,0-35,high,HE Qualification,More than 65,AAA,Fail
218,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
219,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
220,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Fail
221,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
222,M,N,35-55,high,Post Graduate Qualification,60-65,AAA,Pass
224,M,N,35-55,high,Post Graduate Qualification,60-65,AAA,Fail
225,M,N,55<=,high,HE Qualification,More than 65,AAA,Pass
226,M,N,55<=,high,A Level or Equivalent,More than 65,AAA,Pass
228,M,N,55<=,high,Lower Than A Level,60-65,AAA,Pass
229,M,N,55<=,high,A Level or Equivalent,60-65,AAA,Pass
230,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
231,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
232,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
233,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
235,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
236,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
237,F,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
238,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
240,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Fail
241,F,N,35-55,low,HE Qualification,60-65,AAA,Pass
242,F,N,35-55,low,A Level or Equivalent,More than 65,AAA,Fail
244,M,N,35-55,low,HE Qualification,More than 65,AAA,Pass
245,F,Y,35-55,low,Lower Than A Level,60-65,AAA,Fail
246,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
247,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
248,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
249,M,N,35-55,high,HE Qualification,60-65,AAA,Fail
250,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
251,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
253,F,N,35-55,low,HE Qualification,60-65,AAA,Pass
254,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
257,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
259,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
260,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
261,M,Y,35-55,low,Lower Than A Level,More than 65,AAA,Pass
262,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
263,F,Y,35-55,high,A Level or Equivalent,60-65,AAA,Pass
264,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
265,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
266,F,Y,35-55,low,Lower Than A Level,More than 65,AAA,Pass
268,M,N,35-55,high,Lower Than A Level,More than 65,AAA,Pass
269,F,Y,0-35,high,A Level or Equivalent,60-65,AAA,Pass
270,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
271,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
272,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
275,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
276,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
277,F,N,35-55,high,Lower Than A Level,60-65,AAA,Fail
278,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
279,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
281,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
282,M,N,55<=,low,HE Qualification,60-65,AAA,Pass
284,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
285,F,Y,0-35,high,Lower Than A Level,60-65,AAA,Pass
286,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Fail
287,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
288,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
289,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
290,F,N,35-55,low,HE Qualification,60-65,AAA,Pass
291,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
292,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
294,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
295,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
296,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
300,F,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
301,F,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
302,M,N,35-55,low,Lower Than A Level,60-65,AAA,Fail
303,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
306,F,Y,0-35,high,HE Qualification,60-65,AAA,Pass
308,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
309,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
310,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
312,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Fail
314,M,N,35-55,high,Lower Than A Level,More than 65,AAA,Pass
315,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
317,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
318,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
319,M,N,35-55,high,Lower Than A Level,More than 65,AAA,Fail
320,M,N,35-55,high,Lower Than A Level,More than 65,AAA,Pass
321,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
322,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
323,M,N,55<=,high,HE Qualification,60-65,AAA,Fail
324,F,N,35-55,low,Lower Than A Level,60-65,AAA,Fail
326,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
327,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
328,M,N,0-35,high,Lower Than A Level,More than 65,AAA,Pass
329,F,N,0-35,high,HE Qualification,More than 65,AAA,Pass
330,F,N,0-35,low,Lower Than A Level,More than 65,AAA,Pass
331,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
332,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
333,F,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
334,M,N,55<=,low,A Level or Equivalent,More than 65,AAA,Pass
335,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
336,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
337,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
340,F,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
342,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
343,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
344,M,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
345,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
346,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
347,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
350,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
352,F,Y,0-35,low,A Level or Equivalent,60-65,AAA,Pass
353,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
354,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
355,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
356,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
357,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
358,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
359,F,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
360,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
361,M,Y,0-35,low,A Level or Equivalent,60-65,AAA,Fail
362,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
363,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
364,M,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
365,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
366,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
367,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
368,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
369,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
370,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
371,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
372,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
373,M,N,55<=,low,HE Qualification,60-65,AAA,Pass
374,F,N,0-35,low,HE Qualification,More than 65,AAA,Fail
375,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
376,F,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
377,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
378,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
379,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
380,M,N,35-55,low,A Level or Equivalent,More than 65,AAA,Pass
381,M,N,35-55,high,A Level or Equivalent,More than 65,AAA,Pass
382,M,N,0-35,high,Lower Than A Level,More than 65,AAA,Pass
383,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
384,F,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
385,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
386,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
387,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
388,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
389,F,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
390,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
391,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
392,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
393,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
394,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
395,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
396,F,N,0-35,low,HE Qualification,60-65,AAA,Pass
397,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
399,F,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
400,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
401,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
403,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
405,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
406,F,N,0-35,low,HE Qualification,60-65,AAA,Pass
407,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
408,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
409,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Fail
410,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
412,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
413,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
414,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
416,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
417,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
418,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
419,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
420,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
421,M,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
423,F,Y,35-55,high,Lower Than A Level,60-65,AAA,Pass
424,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
425,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Fail
426,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
427,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Fail
428,M,Y,35-55,low,Lower Than A Level,More than 65,AAA,Pass
429,M,N,0-35,high,Lower Than A Level,More than 65,AAA,Pass
430,F,Y,35-55,low,A Level or Equivalent,60-65,AAA,Pass
431,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
432,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
435,F,N,0-35,high,Lower Than A Level,More than 65,AAA,Pass
438,F,Y,0-35,low,A Level or Equivalent,60-65,AAA,Pass
439,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Fail
440,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
441,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
442,F,Y,35-55,low,Lower Than A Level,60-65,AAA,Pass
443,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
444,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
446,M,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
447,M,N,35-55,low,Lower Than A Level,60-65,AAA,Fail
448,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
449,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
450,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
451,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
452,M,N,35-55,low,HE Qualification,60-65,AAA,Pass
453,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
454,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
455,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
456,F,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
457,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
458,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
459,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
460,F,N,0-35,high,Lower Than A Level,60-65,AAA,Fail
461,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
462,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
463,F,N,35-55,low,A Level or Equivalent,More than 65,AAA,Pass
464,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
465,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
467,M,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
468,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
469,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
471,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
472,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Fail
473,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
476,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
477,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Fail
479,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
480,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
481,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
482,F,N,35-55,low,A Level or Equivalent,More than 65,AAA,Pass
483,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
484,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
485,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Fail
486,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
487,F,N,35-55,low,HE Qualification,60-65,AAA,Pass
488,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
489,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
490,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
491,M,Y,35-55,low,A Level or Equivalent,60-65,AAA,Pass
492,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Fail
493,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
494,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
495,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
496,M,N,35-55,high,A Level or Equivalent,More than 65,AAA,Fail
497,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
498,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
499,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
500,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
501,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
502,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
503,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
504,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
505,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
